Mineral,Year,Scenario,Demand
Copper,2059,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29431.2704
Copper,2059,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31148.16888
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Baseline,24959.66628
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,23020.51157
Copper,2060,Ambitious-Baseline-High Capacity-Baseline-Baseline,26654.68979
Copper,2060,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23910.50705
Copper,2060,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23438.40884
Copper,2060,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29363.50628
Copper,2060,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,31058.52979
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Baseline,24852.34449
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22870.43722
Copper,2061,Ambitious-Baseline-High Capacity-Baseline-Baseline,26529.67627
Copper,2061,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23814.06473
Copper,2061,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23330.936
Copper,2061,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29307.22449
Copper,2061,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30984.55627
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Baseline,24752.41935
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22732.16786
Copper,2062,Ambitious-Baseline-High Capacity-Baseline-Baseline,26415.29106
Copper,2062,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23723.10442
Copper,2062,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23229.96466
Copper,2062,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29258.33935
Copper,2062,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30921.21106
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Baseline,24670.08906
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22615.72726
Copper,2063,Ambitious-Baseline-High Capacity-Baseline-Baseline,26321.32875
Copper,2063,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23648.00036
Copper,2063,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23145.90655
Copper,2063,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.04906
Copper,2063,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30878.28875
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Baseline,24593.95194
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22508.94633
Copper,2064,Ambitious-Baseline-High Capacity-Baseline-Baseline,26236.14645
Copper,2064,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23577.51004
Copper,2064,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,23067.47449
Copper,2064,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29201.95194
Copper,2064,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30844.14645
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Baseline,24525.67589
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22413.3482
Copper,2065,Ambitious-Baseline-High Capacity-Baseline-Baseline,26161.98485
Copper,2065,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23512.95894
Copper,2065,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22995.94494
Copper,2065,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29184.71589
Copper,2065,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30821.02485
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Baseline,24466.09825
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22329.34647
Copper,2066,Ambitious-Baseline-High Capacity-Baseline-Baseline,26099.42756
Copper,2066,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23455.41931
Copper,2066,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22932.24552
Copper,2066,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29176.17825
Copper,2066,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30809.50756
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Baseline,24415.1807
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22256.36922
Copper,2067,Ambitious-Baseline-High Capacity-Baseline-Baseline,26048.32547
Copper,2067,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23404.72099
Copper,2067,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22876.057
Copper,2067,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29176.3007
Copper,2067,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30809.44547
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Baseline,24376.89555
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22198.26219
Copper,2068,Ambitious-Baseline-High Capacity-Baseline-Baseline,26012.83068
Copper,2068,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23365.44701
Copper,2068,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22831.73325
Copper,2068,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29189.05555
Copper,2068,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30824.99068
Copper,2069,Ambitious-Baseline-Baseline-Baseline-Baseline,24344.78627
Copper,2069,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22148.02481
Copper,2069,Ambitious-Baseline-High Capacity-Baseline-Baseline,25986.07316
Copper,2069,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23331.15033
Copper,2069,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22792.68431
Copper,2069,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29207.98627
Copper,2069,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30849.27316
Copper,2070,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2070,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2070,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2070,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2070,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2070,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2070,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30876.78793
Copper,2071,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2071,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2071,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2071,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2071,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2071,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2071,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30877.78793
Copper,2072,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2072,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2072,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2072,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2072,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2072,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2072,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30878.78793
Copper,2073,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2073,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2073,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2073,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2073,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2073,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2073,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30879.78793
Copper,2074,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2074,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2074,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2074,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2074,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2074,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2074,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30880.78793
Copper,2075,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2075,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2075,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2075,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2075,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2075,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2075,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30881.78793
Copper,2076,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2076,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2076,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2076,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2076,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2076,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2076,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30882.78793
Copper,2077,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2077,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2077,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2077,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2077,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2077,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2077,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30883.78793
Copper,2078,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2078,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2078,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2078,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2078,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2078,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2078,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30884.78793
Copper,2079,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2079,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2079,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2079,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2079,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2079,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2079,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30885.78793
Copper,2080,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2080,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2080,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2080,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2080,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2080,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2080,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30886.78793
Copper,2081,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2081,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2081,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2081,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2081,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2081,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2081,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30887.78793
Copper,2082,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2082,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2082,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2082,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2082,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2082,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2082,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30888.78793
Copper,2083,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2083,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2083,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2083,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2083,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2083,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2083,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30889.78793
Copper,2084,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2084,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2084,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2084,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2084,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2084,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2084,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30890.78793
Copper,2085,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2085,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2085,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2085,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2085,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2085,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2085,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30891.78793
Copper,2086,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2086,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2086,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2086,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2086,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2086,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2086,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30892.78793
Copper,2087,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2087,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2087,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2087,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2087,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2087,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2087,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30893.78793
Copper,2088,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2088,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2088,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2088,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2088,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2088,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2088,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30894.78793
Copper,2089,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2089,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2089,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2089,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2089,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2089,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2089,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30895.78793
Copper,2090,Ambitious-Baseline-Baseline-Baseline-Baseline,24313.2224
Copper,2090,Ambitious-Baseline-Baseline-Baseline-Enhanced recycling,22099.6469
Copper,2090,Ambitious-Baseline-High Capacity-Baseline-Baseline,25962.54793
Copper,2090,Ambitious-Baseline-Low Capacity-Baseline-Baseline,23295.73401
Copper,2090,Ambitious-Baseline-Low Capacity-Baseline-Recycling Medium,22753.06498
Copper,2090,Ambitious-Baseline-Baseline-Baseline-Baseline_OtherLow,29227.4624
Copper,2090,Ambitious-Baseline-High Capacity-Baseline-Baseline_OtherLow,30896.78793
Copper,2023,Aggressive_Recycling,21136.03
Copper,2024,Aggressive_Recycling,21874.72655
Copper,2025,Aggressive_Recycling,22612.82813
Copper,2026,Aggressive_Recycling,23317.29932
Copper,2027,Aggressive_Recycling,24100.71433
Copper,2028,Aggressive_Recycling,24983.59056
Copper,2029,Aggressive_Recycling,25973.64394
Copper,2030,Aggressive_Recycling,27198.612
Copper,2031,Aggressive_Recycling,27805.51599
Copper,2032,Aggressive_Recycling,28177.33189
Copper,2033,Aggressive_Recycling,28573.10894
Copper,2034,Aggressive_Recycling,28962.57435
Copper,2035,Aggressive_Recycling,29294.47643
Copper,2036,Aggressive_Recycling,29234.75239
Copper,2037,Aggressive_Recycling,29176.0079
Copper,2038,Aggressive_Recycling,29096.36841
Copper,2039,Aggressive_Recycling,28968.41059
Copper,2040,Aggressive_Recycling,28814.61645
Copper,2041,Aggressive_Recycling,28309.60013
Copper,2042,Aggressive_Recycling,27780.02531
Copper,2043,Aggressive_Recycling,27199.68144
Copper,2044,Aggressive_Recycling,26573.3215
Copper,2045,Aggressive_Recycling,25904.53327
Copper,2046,Aggressive_Recycling,25116.26359
Copper,2047,Aggressive_Recycling,24314.04713
Copper,2048,Aggressive_Recycling,23518.12298
Copper,2049,Aggressive_Recycling,22725.92123
Copper,2050,Aggressive_Recycling,21930.48931
Copper,2051,Aggressive_Recycling,21558.713
Copper,2052,Aggressive_Recycling,21172.70248
Copper,2053,Aggressive_Recycling,20824.88802
Copper,2054,Aggressive_Recycling,20483.91522
Copper,2055,Aggressive_Recycling,20167.24826
Copper,2056,Aggressive_Recycling,19875.00287
Copper,2057,Aggressive_Recycling,19585.40872
Copper,2058,Aggressive_Recycling,19337.93506
Copper,2059,Aggressive_Recycling,19106.27344
Copper,2060,Aggressive_Recycling,18891.91157
Copper,2061,Aggressive_Recycling,18693.98722
Copper,2062,Aggressive_Recycling,18507.86786
Copper,2063,Aggressive_Recycling,18343.57726
Copper,2064,Aggressive_Recycling,18188.94633
Copper,2065,Aggressive_Recycling,18045.4982
Copper,2066,Aggressive_Recycling,17913.64647
Copper,2067,Aggressive_Recycling,17792.81922
Copper,2068,Aggressive_Recycling,17686.86219
Copper,2069,Aggressive_Recycling,17588.77481
Copper,2070,Aggressive_Recycling,17492.5469
Copper,2071,Aggressive_Recycling,17492.5469
Copper,2072,Aggressive_Recycling,17492.5469
Copper,2073,Aggressive_Recycling,17492.5469
Copper,2074,Aggressive_Recycling,17492.5469
Copper,2075,Aggressive_Recycling,17492.5469
Copper,2076,Aggressive_Recycling,17492.5469
Copper,2077,Aggressive_Recycling,17492.5469
Copper,2078,Aggressive_Recycling,17492.5469
Copper,2079,Aggressive_Recycling,17492.5469
Copper,2080,Aggressive_Recycling,17492.5469
Copper,2081,Aggressive_Recycling,17492.5469
Copper,2082,Aggressive_Recycling,17492.5469
Copper,2083,Aggressive_Recycling,17492.5469
Copper,2084,Aggressive_Recycling,17492.5469
Copper,2085,Aggressive_Recycling,17492.5469
Copper,2086,Aggressive_Recycling,17492.5469
Copper,2087,Aggressive_Recycling,17492.5469
Copper,2088,Aggressive_Recycling,17492.5469
Copper,2089,Aggressive_Recycling,17492.5469
Copper,2090,Aggressive_Recycling,17492.5469
